[DEBUG pos594] donor vs corrupt L-inf: K=3.375000, V=5.312500
[DEBUG pos688] donor vs corrupt L-inf: K=1.179688
[ep 001] SUCCESS | total 1/1 (100.0%)
[ep 002] SUCCESS | total 2/2 (100.0%)
[ep 003] FAILURE | total 2/3 (66.7%)
[ep 004] SUCCESS | total 3/4 (75.0%)
[ep 005] FAILURE | total 3/5 (60.0%)
[ep 006] SUCCESS | total 4/6 (66.7%)
[ep 007] SUCCESS | total 5/7 (71.4%)
[ep 008] SUCCESS | total 6/8 (75.0%)
[ep 009] SUCCESS | total 7/9 (77.8%)
[ep 010] SUCCESS | total 8/10 (80.0%)
[ep 011] SUCCESS | total 9/11 (81.8%)
[ep 012] SUCCESS | total 10/12 (83.3%)
[ep 013] SUCCESS | total 11/13 (84.6%)
[ep 014] SUCCESS | total 12/14 (85.7%)
[ep 015] SUCCESS | total 13/15 (86.7%)
[ep 016] SUCCESS | total 14/16 (87.5%)
[ep 017] SUCCESS | total 15/17 (88.2%)
[ep 018] SUCCESS | total 16/18 (88.9%)
[ep 019] FAILURE | total 16/19 (84.2%)
[ep 020] SUCCESS | total 17/20 (85.0%)
[ep 021] SUCCESS | total 18/21 (85.7%)
[ep 022] SUCCESS | total 19/22 (86.4%)
[ep 023] SUCCESS | total 20/23 (87.0%)
[ep 024] SUCCESS | total 21/24 (87.5%)
[ep 025] SUCCESS | total 22/25 (88.0%)
=== TASK DONE | success rate: 22/25 (88.0%) ===
=== FINAL | total success rate: 22/25 (88.0%) ===
